iter	RMSE
0	7066.764766
1	7000.389652
2	6933.350565
3	6868.22065
4	6801.846644
5	6735.923175
6	6672.604992
7	6608.093302
8	6544.577378
9	6482.121969
10	6418.943002
11	6357.137158
12	6296.616669
13	6237.169238
14	6177.376692
15	6117.978119
16	6059.560789
17	6001.457593
18	5943.637564
19	5886.049447
20	5830.824687
21	5775.23173
22	5720.260631
23	5665.423773
24	5611.342435
25	5558.418434
26	5504.833822
27	5452.306612
28	5399.94831
29	5347.73205
30	5296.271235
31	5245.938551
32	5195.717314
33	5145.74879
34	5096.835575
35	5047.970765
36	4999.540013
37	4951.571741
38	4904.146321
39	4857.780593
40	4811.243297
41	4764.825316
42	4718.867643
43	4673.527185
44	4629.893057
45	4585.726799
46	4541.57852
47	4497.986157
48	4454.353712
49	4411.902636
50	4369.844722
51	4328.012639
52	4286.299008
53	4245.120643
54	4204.26058
55	4163.726264
56	4124.3405
57	4084.928186
58	4046.015782
59	4007.858304
60	3969.35646
61	3931.363802
62	3894.221614
63	3857.59572
64	3820.486698
65	3784.516386
66	3748.88355
67	3712.945808
68	3677.860738
69	3642.542131
70	3607.680439
71	3573.386618
72	3539.203
73	3506.10457
74	3472.627055
75	3439.319002
76	3406.123712
77	3373.152809
78	3340.962478
79	3308.915276
80	3277.06662
81	3245.748332
82	3214.928105
83	3184.476382
84	3153.884473
85	3123.485501
86	3094.010935
87	3064.327667
88	3034.690859
89	3006.253871
90	2977.540335
91	2949.519852
92	2921.417943
93	2893.580901
94	2865.879001
95	2838.806747
96	2811.937689
97	2785.48202
98	2759.820069
99	2733.656546
100	2707.334698
101	2682.010668
102	2656.889437
103	2631.307048
104	2605.928107
105	2580.918016
106	2556.478747
107	2532.156718
108	2507.997578
109	2484.070672
110	2460.766053
111	2437.238986
112	2414.153581
113	2391.461095
114	2368.758378
115	2346.644364
116	2324.085174
117	2302.386193
118	2280.665801
119	2259.26199
120	2237.829376
121	2217.043004
122	2195.68199
123	2174.910547
124	2154.153018
125	2134.029841
126	2113.800151
127	2093.949365
128	2074.063211
129	2054.17603
130	2034.519495
131	2015.403253
132	1996.218093
133	1977.548136
134	1958.820322
135	1940.242516
136	1922.435035
137	1904.251466
138	1886.311296
139	1869.512187
140	1851.694782
141	1833.993128
142	1816.647824
143	1799.646059
144	1782.626523
145	1766.051834
146	1749.504213
147	1732.98244
148	1716.60773
149	1700.836119
150	1684.698388
151	1669.29483
152	1653.673059
153	1638.129359
154	1622.907347
155	1607.703567
156	1592.834306
157	1577.854396
158	1563.23636
159	1548.879284
160	1534.245021
161	1519.71214
162	1505.554373
163	1491.714733
164	1477.912742
165	1463.908931
166	1450.021874
167	1436.545529
168	1423.240443
169	1409.643184
170	1396.896711
171	1383.749921
172	1370.834311
173	1357.943646
174	1345.2267
175	1332.657678
176	1320.04416
177	1307.706398
178	1295.362129
179	1283.266812
180	1271.352341
181	1259.442369
182	1247.589534
183	1235.942266
184	1224.42103
185	1212.906878
186	1201.696403
187	1190.535558
188	1179.488399
189	1168.548302
190	1157.830985
191	1146.925551
192	1136.176397
193	1125.556497
194	1115.040004
195	1104.932631
196	1094.55479
197	1084.577392
198	1074.541566
199	1064.828595
200	1054.779721
201	1044.951278
202	1035.162555
203	1025.603458
204	1016.067518
205	1006.912634
206	997.7661462
207	988.442071
208	979.170553
209	970.0454637
210	961.224145
211	952.2274883
212	943.4820677
213	935.1987986
214	926.5486358
215	917.9618428
216	909.4221724
217	901.1399189
218	892.9547478
219	884.8217882
220	876.6174668
221	868.6989757
222	860.8568403
223	853.089769
224	845.0791238
225	837.3160145
226	829.5364891
227	821.7986578
228	814.2861111
229	806.7164981
230	799.3520364
231	791.9716382
232	784.8304638
233	777.5670712
234	770.4423072
235	763.460093
236	756.5478226
237	749.6216305
238	742.8489746
239	736.2365069
240	729.5201105
241	722.8545685
242	716.2220087
243	709.6478336
244	703.2201986
245	696.8157116
246	690.519932
247	684.3914163
248	678.2126924
249	671.997631
250	666.0444017
251	660.0767163
252	654.1562697
253	648.2833038
254	642.6088051
255	636.931088
256	631.3390361
257	625.8123341
258	620.1272549
259	614.5578363
260	609.0646429
261	603.6511934
262	598.2387638
263	592.9452065
264	587.6140243
265	582.3446135
266	577.1957637
267	572.0701196
268	567.0991955
269	562.1878826
270	557.2480296
271	552.23731
272	547.4053764
273	542.6238103
274	537.8007817
275	533.158306
276	528.449995
277	523.8081765
278	519.3479525
279	514.7598936
280	510.333024
281	505.850258
282	501.4329345
283	497.0663182
284	492.8643518
285	488.593854
286	484.3465907
287	480.128007
288	476.0742171
289	471.934402
290	467.8947994
291	463.8410693
292	459.9580093
293	456.0418279
294	452.1550834
295	448.2296312
296	444.4267273
297	440.6303058
298	436.934902
299	433.2050867
300	429.5611709
301	425.9525674
302	422.4034479
303	418.805218
304	415.283979
305	411.7947749
306	408.3377647
307	404.8543587
308	401.4936924
309	398.2101391
310	394.87651
311	391.546084
312	388.3121292
313	385.1878202
314	382.0329756
315	378.897995
316	375.7237332
317	372.5953148
318	369.5743805
319	366.5911095
320	363.5754551
321	360.6294755
322	357.6660927
323	354.7601103
324	351.8254452
325	349.0011988
326	346.229349
327	343.4641744
328	340.726221
329	338.048137
330	335.3172068
331	332.6397582
332	329.9402431
333	327.2908855
334	324.6611475
335	322.1529455
336	319.6643928
337	317.1964732
338	314.7274907
339	312.2596265
340	309.790689
341	307.3627073
342	304.9676774
343	302.6750169
344	300.3402657
345	298.069512
346	295.7491061
347	293.4819429
348	291.2426237
349	289.0962907
350	286.841243
351	284.6715586
352	282.5134799
353	280.3811408
354	278.2504649
355	276.1569741
356	274.0429335
357	272.0339705
358	269.9753698
359	267.9662019
360	265.9820155
361	264.0033882
362	262.0747591
363	260.1457908
364	258.2716639
365	256.384917
366	254.5222921
367	252.7330184
368	250.8607344
369	249.0417807
370	247.3509724
371	245.5623203
372	243.8434866
373	242.0891667
374	240.392215
375	238.749901
376	237.1101156
377	235.4702194
378	233.8232389
379	232.2353623
380	230.6791185
381	229.139842
382	227.5812963
383	226.0594443
384	224.4951221
385	223.0051826
386	221.4939513
387	219.9779873
388	218.5033245
389	217.053364
390	215.6438944
391	214.2125109
392	212.809848
393	211.3906025
394	210.0403777
395	208.6736013
396	207.3419668
397	206.0395039
398	204.7290172
399	203.4516439
400	202.2064613
401	200.9725959
402	199.7126156
403	198.5097054
404	197.2844632
405	196.0549208
406	194.8860703
407	193.6512242
408	192.4928219
409	191.308614
410	190.1454126
411	189.0306989
412	187.9392783
413	186.8417701
414	185.7582371
415	184.6914698
416	183.66703
417	182.6398948
418	181.6019527
419	180.5998047
420	179.5441973
421	178.5536789
422	177.5663973
423	176.5497061
424	175.5630104
425	174.6231205
426	173.6487652
427	172.7118663
428	171.7759335
429	170.8808226
430	169.9559058
431	169.0478282
432	168.2026446
433	167.3152612
434	166.4248578
435	165.5739801
436	164.7261527
437	163.8595116
438	163.0743377
439	162.2394894
440	161.4332561
441	160.6237077
442	159.832037
443	159.0473009
444	158.2657308
445	157.4763651
446	156.6917849
447	155.934229
448	155.2182963
449	154.4823469
450	153.7566198
451	153.0086748
452	152.2621076
453	151.5474706
454	150.8655872
455	150.1756577
456	149.5188197
457	148.8347722
458	148.1711254
459	147.5373005
460	146.8866968
461	146.2175114
462	145.5879244
463	144.9379642
464	144.3115914
465	143.7167748
466	143.1282782
467	142.5183827
468	141.8983331
469	141.3021005
470	140.7051515
471	140.1235874
472	139.5597935
473	139.0083591
474	138.4434671
475	137.8989085
476	137.3559358
477	136.8227314
478	136.2819268
479	135.7400029
480	135.2185667
481	134.6988041
482	134.2177643
483	133.7354259
484	133.2472477
485	132.7464894
486	132.2510916
487	131.7509582
488	131.2532608
489	130.7894153
490	130.3403211
491	129.8831758
492	129.4403092
493	128.9914352
494	128.5373809
495	128.098755
496	127.6898154
497	127.2672496
498	126.8436134
499	126.4085231
500	126.0114911
501	125.5993544
502	125.2129455
503	124.7943483
504	124.4127356
505	124.0234655
506	123.6496049
507	123.2543135
508	122.8514456
509	122.4631737
510	122.10384
511	121.7217154
512	121.3675787
513	120.9992916
514	120.6699028
515	120.2859383
516	119.9511713
517	119.5851333
518	119.2300739
519	118.9014
520	118.5928822
521	118.2774089
522	117.9697668
523	117.6294992
524	117.3196871
525	117.0023496
526	116.6984417
527	116.3917162
528	116.0661393
529	115.7818305
530	115.4638658
531	115.1377978
532	114.8533698
533	114.5667031
534	114.2615395
535	113.9837944
536	113.7274649
537	113.4451721
538	113.1605007
539	112.864035
540	112.6024317
541	112.3228513
542	112.0590751
543	111.7803392
544	111.5288035
545	111.2569706
546	110.9786732
547	110.7314599
548	110.4911875
549	110.2564106
550	109.9928185
551	109.7467069
552	109.5122915
553	109.276343
554	109.032322
555	108.7948664
556	108.5646962
557	108.3448597
558	108.1074773
559	107.8851193
560	107.6531934
561	107.4422396
562	107.2225137
563	107.0090736
564	106.7807651
565	106.5446147
566	106.3085208
567	106.0725205
568	105.8748675
569	105.6707763
570	105.4542879
571	105.2571995
572	105.0650147
573	104.8610958
574	104.6458763
575	104.4261553
576	104.2457517
577	104.0428198
578	103.8628143
579	103.6899093
580	103.5050154
581	103.3204696
582	103.1311714
583	102.95488
584	102.7719812
585	102.5845713
586	102.4012922
587	102.2186246
588	102.0425594
589	101.8672883
590	101.6939525
591	101.5218651
592	101.361556
593	101.1963865
594	101.0063866
595	100.8504356
596	100.6915833
597	100.5283107
598	100.3739271
599	100.2363646
600	100.0717481
601	99.9231836
602	99.76206707
603	99.60914996
604	99.45830769
605	99.31631724
606	99.15771244
607	99.019287
608	98.8733748
609	98.72008342
610	98.57460335
611	98.42518886
612	98.28541184
613	98.14510235
614	97.99839041
615	97.85229484
616	97.72313826
617	97.59561739
618	97.42832375
619	97.28370409
620	97.14065182
621	96.99632374
622	96.86546402
623	96.73265774
624	96.61292545
625	96.4879831
626	96.35012383
627	96.22926047
628	96.09772147
629	95.98778806
630	95.84973371
631	95.71788349
632	95.60945674
633	95.49229651
634	95.366178
635	95.23625012
636	95.10837693
637	94.98789143
638	94.88372447
639	94.76191905
640	94.64178409
641	94.52531066
642	94.40321588
643	94.29403474
644	94.17317031
645	94.04828922
646	93.93404124
647	93.8261921
648	93.70037281
649	93.59194538
650	93.47164843
651	93.37561487
652	93.27333509
653	93.16874213
654	93.06197724
655	92.94658598
656	92.84146441
657	92.73858749
658	92.63238694
659	92.52500115
660	92.41763749
661	92.30262894
662	92.19791177
663	92.07860356
664	91.98294665
665	91.8931723
666	91.79865203
667	91.69349393
668	91.57862056
669	91.49492805
670	91.41079091
671	91.30102315
672	91.20486316
673	91.09893308
674	91.00557911
675	90.89035482
676	90.78174334
677	90.68804627
678	90.58488273
679	90.48432513
680	90.39220752
681	90.29248093
682	90.1917549
683	90.08843084
684	90.00213901
685	89.91663514
686	89.83718433
687	89.74992733
688	89.6634546
689	89.57342829
690	89.48752518
691	89.40387056
692	89.31571855
693	89.23481357
694	89.14038625
695	89.05394902
696	88.96356886
697	88.88677862
698	88.8026612
699	88.72344884
700	88.6227509
701	88.53604993
702	88.45144829
703	88.36717484
704	88.28962341
705	88.21451335
706	88.11451221
707	88.02976148
708	87.95356302
709	87.8786049
710	87.80441865
711	87.72559541
712	87.65458651
713	87.57537649
714	87.50487503
715	87.43473056
716	87.36526878
717	87.29610803
718	87.21894981
719	87.13992471
720	87.07301263
721	86.98572188
722	86.9036064
723	86.83325267
724	86.75241141
725	86.67342718
726	86.60569503
727	86.53611733
728	86.46083549
729	86.39919605
730	86.31450606
731	86.25863435
732	86.1933767
733	86.11447681
734	86.03197369
735	85.95297997
736	85.87534111
737	85.80104565
738	85.7339212
739	85.66340103
740	85.59381587
741	85.52397407
742	85.46560012
743	85.38620275
744	85.30856228
745	85.24542594
746	85.18160976
747	85.10952847
748	85.0541254
749	84.98515155
750	84.9154355
751	84.84946342
752	84.78472725
753	84.73263244
754	84.66179076
755	84.59609727
756	84.53434593
757	84.46030315
758	84.39454014
759	84.33194248
760	84.26270377
761	84.19514722
762	84.13520087
763	84.06813545
764	84.00517225
765	83.94607777
766	83.8932031
767	83.82479493
768	83.76013047
769	83.71080307
770	83.6435609
771	83.58672283
772	83.53991881
773	83.47302314
774	83.41037411
775	83.33613098
776	83.26800031
777	83.20813218
778	83.15547945
779	83.08813089
780	83.03354488
781	82.97254482
782	82.91887032
783	82.86573413
784	82.80947396
785	82.76041336
786	82.70585253
787	82.63706474
788	82.57549748
789	82.51278266
790	82.44319045
791	82.39092044
792	82.32203775
793	82.26567252
794	82.19696017
795	82.14425286
796	82.09138609
797	82.02837493
798	81.97791651
799	81.92647868
800	81.86834722
801	81.80967336
802	81.74789864
803	81.69515819
804	81.64294704
805	81.59266582
806	81.53176017
807	81.47497645
808	81.42350088
809	81.37319194
810	81.31977329
811	81.26832337
812	81.21605389
813	81.15948282
814	81.09548803
815	81.0436832
816	80.99156596
817	80.94414667
818	80.88627815
819	80.83890287
820	80.78472958
821	80.74362489
822	80.69269222
823	80.63333956
824	80.57646377
825	80.52376872
826	80.46727765
827	80.4238737
828	80.3774003
829	80.32128771
830	80.27291323
831	80.23219122
832	80.18910741
833	80.1294302
834	80.09075127
835	80.04411581
836	79.99767536
837	79.93877623
838	79.87933527
839	79.83886639
840	79.79201682
841	79.74232197
842	79.68832471
843	79.64139112
844	79.58641772
845	79.54827702
846	79.50520641
847	79.44678662
848	79.39830791
849	79.34766552
850	79.30176331
851	79.26129631
852	79.21139522
853	79.16639574
854	79.12053367
855	79.08140307
856	79.02511529
857	78.97721464
858	78.92421851
859	78.87508002
860	78.83038757
861	78.78675876
862	78.74302353
863	78.69582862
864	78.65740521
865	78.61726032
866	78.57593428
867	78.52437551
868	78.47062999
869	78.42428447
870	78.36864692
871	78.32366357
872	78.28516934
873	78.24443492
874	78.20142548
875	78.15662007
876	78.11062103
877	78.06621242
878	78.02055937
879	77.97406211
880	77.93427298
881	77.88409893
882	77.84017794
883	77.80287093
884	77.75582713
885	77.71963842
886	77.67205871
887	77.62638217
888	77.59173269
889	77.55231521
890	77.50760866
891	77.45616333
892	77.41039432
893	77.36378424
894	77.31992015
895	77.28160625
896	77.24905351
897	77.20862905
898	77.16482092
899	77.11747557
900	77.0798814
901	77.03256788
902	76.98478991
903	76.94327425
904	76.90097386
905	76.85917616
906	76.82279384
907	76.77255428
908	76.73300246
909	76.69671043
910	76.65101439
911	76.60395997
912	76.55500006
913	76.52092809
914	76.48082139
915	76.44873502
916	76.40933158
917	76.36269934
918	76.31479582
919	76.27764389
920	76.24371218
921	76.21016511
922	76.16339204
923	76.12511929
924	76.08119835
925	76.04390653
926	75.99926051
927	75.96340916
928	75.91868201
929	75.8773995
930	75.83764583
931	75.79938004
932	75.7627493
933	75.71947701
934	75.68619019
935	75.64308609
936	75.61130007
937	75.56508991
938	75.52849013
939	75.48883614
940	75.44341212
941	75.40500984
942	75.36836126
943	75.32833437
944	75.29632172
945	75.25867037
946	75.22387043
947	75.19000502
948	75.15688402
949	75.11728875
950	75.08040703
951	75.04409858
952	75.00375659
953	74.96411715
954	74.93323634
955	74.89991416
956	74.86409493
957	74.82380779
958	74.78978952
959	74.75657906
960	74.72059624
961	74.6832247
962	74.64812618
963	74.61662379
964	74.58150998
965	74.53432164
966	74.50110971
967	74.46834623
968	74.42810141
969	74.39582967
970	74.36296694
971	74.32596755
972	74.28907317
973	74.25407333
974	74.22122023
975	74.186295
976	74.14717351
977	74.11590655
978	74.08252169
979	74.04916862
980	74.01765131
981	73.977041
982	73.94454762
983	73.90115159
984	73.87372222
985	73.83545887
986	73.7939031
987	73.75416883
988	73.70878196
989	73.67697957
990	73.63880509
991	73.60321023
992	73.57337418
993	73.53447541
994	73.50276685
995	73.47003134
996	73.43712178
997	73.40108958
998	73.36877437
999	73.33664069
